model,dataset,question_id,question,sql_time_s,nlp_time_s,total_time_s,gpu_energy_j,total_energy_j,avg_power_w,carbon_gco2eq,generated_at
cogito:3b,global_development,question_18,What is the highest energy per capita score in 2020? In which country,0.0551,9.9044,9.9595,0.0,94.1594,9.45,10.4622,2025-11-26 12:46:23
cogito:3b,global_development,question_19,What country has the longest period of deflation? Deflation is known as when the inflation is negative,0.0342,8.9703,9.0045,0.0,91.102,10.12,10.1224,2025-11-26 12:46:32
cogito:3b,global_development,question_2,Country with the highest global development resilience score in 2020,0.0352,39.3082,39.3434,0.0,380.8405,9.68,42.3156,2025-11-26 12:47:12
cogito:3b,global_development,question_20,Which country has the highest gdp per capita among lower middle income group?,0.0449,17.0582,17.1031,0.0,197.9927,11.58,21.9991,2025-11-26 12:47:29
cogito:3b,global_development,question_21,Number of countries have higher economic opportunity than the world,0.0472,16.1797,16.2269,0.0,156.4515,9.64,17.3835,2025-11-26 12:47:46
cogito:3b,global_development,question_22,"Looking at the green transition score of all the countries and regions over the years, what is the common patterns?",0.0644,44.1174,44.1818,0.0,434.9169,9.84,48.3241,2025-11-26 12:48:30
cogito:3b,global_development,question_23,Explain for me the correlations of human development index and gdp per capita,0.0487,23.6902,23.7389,0.0,227.9693,9.6,25.3299,2025-11-26 12:48:54
cogito:3b,global_development,question_24,Evaluate the differences in digital readiness of South Asia compared to Europe region,0.0526,19.4744,19.527,0.0,187.633,9.61,20.8481,2025-11-26 12:49:14
cogito:3b,global_development,question_25,Is there any correlation between governance quality and digital readiness score of South Asia?,0.046,23.0721,23.1181,0.0,234.0283,10.12,26.0032,2025-11-26 12:49:37
cogito:3b,global_development,question_26,Does the school enrolment in secondary affect the HDI in South Asia?,0.0432,13.0622,13.1054,0.0,99.7042,7.61,11.0783,2025-11-26 12:49:50
cogito:3b,global_development,question_27,What is the relationship of the FDI percentage of gdp and economic grow in middle and low income group?,0.0341,16.8243,16.8584,0.0,166.4736,9.87,18.497,2025-11-26 12:50:07
cogito:3b,global_development,question_28,"Compare the economic opportunity index of high income, middlie income groups and the world",0.1836,14.6787,14.8623,0.0,87.3631,5.88,9.707,2025-11-26 12:50:23
cogito:3b,global_development,question_29,Is the weather vulnerability related to the child mortality in high income country?,0.0373,7.6297,7.667,0.0,52.8518,6.89,5.8724,2025-11-26 12:50:30
cogito:3b,global_development,question_3,What is the human development index score of Vietnam in 2019?,0.0287,10.2948,10.3235,0.0,60.7504,5.88,6.75,2025-11-26 12:50:41
cogito:3b,global_development,question_30,Do countries with high weather vulnerability score have higher green transition scores? Explain for me the implication,0.0287,15.2934,15.3221,0.0,113.2592,7.39,12.5844,2025-11-26 12:50:56
cogito:3b,global_development,question_31,What is the relationship between unemployment rate and inflation of US through years?,0.0445,10.8099,10.8544,0.0,59.9647,5.52,6.6628,2025-11-26 12:51:08
cogito:3b,global_development,question_4,What is the inflation rate of Vietnam in 2009?,0.0286,5.1155,5.1441,0.0,28.0664,5.46,3.1185,2025-11-26 12:51:13
cogito:3b,global_development,question_5,What is the unemployment rate of Europe region in 2008?,0.0368,8.3173,8.3541,0.0,67.2384,8.05,7.4709,2025-11-26 12:51:21
cogito:3b,global_development,question_6,What is the life expectancy of Japan in 2020?,0.0309,6.6259,6.6568,0.0,46.3439,6.96,5.1493,2025-11-26 12:51:28
cogito:3b,global_development,question_7,What is the economic opportunity index of indebt countries group in 2020?,0.0332,11.4662,11.4994,0.0,92.5387,8.05,10.282,2025-11-26 12:51:40
cogito:3b,global_development,question_8,What is the gpd per capita of OECD group in 2019?,0.0284,18.7559,18.7843,0.0,206.5168,10.99,22.9464,2025-11-26 12:51:59
cogito:3b,global_development,question_9,What is the green transition score of lower middle income group in 2020?,0.0434,13.1953,13.2387,0.0,132.394,10.0,14.7105,2025-11-26 12:52:12
cogito:3b,happiness_record,question_1,What is the positive affect of US in 2008?,0.0343,5.6497,5.684,0.0,30.9525,5.45,3.4391,2025-11-26 12:52:18
cogito:3b,happiness_record,question_10,What is the Confidence In National Government of Singapore in 2022?,0.0282,13.6287,13.6569,0.0,72.3042,5.29,8.0338,2025-11-26 12:52:32
cogito:3b,happiness_record,question_11,What is the average positive affect of all countries in 2008?,0.0283,6.3552,6.3835,0.0,41.1971,6.45,4.5775,2025-11-26 12:52:39
cogito:3b,happiness_record,question_12,What is the average life ladder of Asia countries in 2022?,0.0267,11.2677,11.2944,0.0,54.3266,4.81,6.0363,2025-11-26 12:52:50
cogito:3b,happiness_record,question_13,Which country has the highest average long gdp per capita through years?,0.0285,10.5015,10.53,0.0,53.6672,5.1,5.963,2025-11-26 12:53:01
cogito:3b,happiness_record,question_14,Which country has the lowest average social support score over years?,0.0304,13.8481,13.8785,0.0,73.4134,5.29,8.157,2025-11-26 12:53:15
cogito:3b,happiness_record,question_15,What is the average Healthy Life Expectancy At Birth of the world after 2020? ,0.0294,5.3332,5.3626,0.0,26.2028,4.89,2.9114,2025-11-26 12:53:21
cogito:3b,happiness_record,question_16,Which country has the highest freedom to make choices index? What region is it from? ,0.0331,7.1664,7.1995,0.0,40.6529,5.65,4.5169,2025-11-26 12:53:28
cogito:3b,happiness_record,question_17,How many countries have higher average generiosity over years compared to the world' average?,0.0403,12.2307,12.271,0.0,62.8631,5.12,6.9848,2025-11-26 12:53:41
cogito:3b,happiness_record,question_18,Which region has the highest average perceptions of corruption?,0.0309,6.8559,6.8868,0.0,31.456,4.57,3.4951,2025-11-26 12:53:48
cogito:3b,happiness_record,question_19,Which country has the highest average negative affect in 2022? ,0.0273,16.3539,16.3812,0.0,93.7669,5.72,10.4186,2025-11-26 12:54:04
cogito:3b,happiness_record,question_2,What is the life ladder of Vietnam in 2022?,0.0462,5.5056,5.5518,0.0,25.3366,4.56,2.8152,2025-11-26 12:54:10
cogito:3b,happiness_record,question_20,What is the average Confidence In National Government score of Vietnam over years?,0.0341,4.2973,4.3314,0.0,26.7663,6.18,2.9741,2025-11-26 12:54:15
cogito:3b,happiness_record,question_21,What are the countries having confidence in national goverment higher than world average in 2022?,0.0285,5.1146,5.1431,0.0,25.7521,5.01,2.8613,2025-11-26 12:54:20
cogito:3b,happiness_record,question_22,Interpret for me the current trend in positive affect of the world from 2008 to 2022?,0.0332,25.673,25.7062,0.0,128.5706,5.0,14.2857,2025-11-26 12:54:46
cogito:3b,happiness_record,question_23,Comparing the life ladder of Asia and Europe to tell me which region is worth to live?,0.0477,13.4439,13.4916,0.0,75.6268,5.61,8.403,2025-11-26 12:55:00
cogito:3b,happiness_record,question_24,Are countries with higher long gdp per capita likely to have higher positive effect over years? Comparing the data to evaluate ,0.0308,44.8901,44.9209,0.0,222.9341,4.96,24.7704,2025-11-26 12:55:45
cogito:3b,happiness_record,question_25,Does lack of social support lead to higher negative affect over years? ,0.045,20.3597,20.4047,0.0,115.915,5.68,12.8795,2025-11-26 12:56:05
cogito:3b,happiness_record,question_26,"Analyze the trend of Healthy Life Expectancy At Birth by region (Asia, Europe, North America)",0.0401,6.46,6.5001,0.0,30.0929,4.63,3.3437,2025-11-26 12:56:12
cogito:3b,happiness_record,question_27,Evaluate for me the relationship between freedom to make choices and positive affect of Asia and North America countries. Explain the reasons.,0.0258,9.4791,9.5049,0.0,57.4436,6.04,6.3827,2025-11-26 12:56:22
cogito:3b,happiness_record,question_28,What is the current movement of generiosity of Asian countries over years? Explain the reasons.,0.0342,15.6771,15.7113,0.0,80.4625,5.12,8.9402,2025-11-26 12:56:38
cogito:3b,happiness_record,question_29,What is the relationship of percptions of corruption and confidence in national government?,0.0483,50.5155,50.5638,0.0,481.1975,9.52,53.4664,2025-11-26 12:57:28
cogito:3b,happiness_record,question_3,What is the long GDP per capita of China in 2009?,0.0807,6.4728,6.5535,0.0,133.9617,20.44,14.8846,2025-11-26 12:57:35
cogito:3b,happiness_record,question_30,Do high long gdp per capita countries have higher negative affects? Explain the results.,0.0611,39.8077,39.8688,0.0,799.1895,20.05,88.7989,2025-11-26 12:58:15
cogito:3b,happiness_record,question_31,How differences in Confidence In National Government score comparing all the regions? Evaluate the importance of governance trust on positive affects.,0.1201,23.4462,23.5663,0.0,437.0957,18.55,48.5662,2025-11-26 12:58:39
cogito:3b,happiness_record,question_4,What is the social support index of Germany in 2008?,0.0706,8.452,8.5226,0.0,126.6298,14.86,14.07,2025-11-26 12:58:48
cogito:3b,happiness_record,question_5,What is the Healthy Life Expectancy At Birth of Japan in 2020?,0.0371,6.8309,6.868,0.0,95.1785,13.86,10.5754,2025-11-26 12:58:55
cogito:3b,happiness_record,question_6,What is the Freedom To Make Life Choices of Vietnam in 2018?,0.0432,13.568,13.6112,0.0,206.6121,15.18,22.9569,2025-11-26 12:59:09
cogito:3b,happiness_record,question_7,What is the generiosity score of Singapore in 2022?,0.0448,9.5093,9.5541,0.0,150.4178,15.74,16.7131,2025-11-26 12:59:19
cogito:3b,happiness_record,question_8,What is the Perceptions Of Corruption of Ecuador in 2008?,0.0437,9.6159,9.6596,0.0,143.5146,14.86,15.9461,2025-11-26 12:59:28
cogito:3b,happiness_record,question_9,What is the negative affect of Japan in 2022?,0.0346,12.6014,12.636,0.0,146.7466,11.61,16.3051,2025-11-26 12:59:41
deepseek-r1:7b,country_income,question_1,What is the gini recalculated of Vietnam in 2015?,0.0309,91.1435,91.1744,0.0,550.8903,6.04,61.21,2025-11-26 13:01:13
deepseek-r1:7b,country_income,question_10,What is the net income of each category of Vietnam in 2015?,0.0597,75.8049,75.8646,0.0,428.0796,5.64,47.5644,2025-11-26 13:02:29
deepseek-r1:7b,country_income,question_11,What is the average of gini recalcuated score of Vietnam by year?,0.0523,96.9117,96.964,0.0,740.7588,7.64,82.3066,2025-11-26 13:37:52
deepseek-r1:7b,country_income,question_12,Top 5 country that have highest gini recalulated in 2015,0.0547,85.2037,85.2584,0.0,538.9249,6.32,59.8805,2025-11-26 13:55:05
deepseek-r1:7b,country_income,question_13,Top 5 country of which d1 category has highest net income in 2015,0.0613,48.7113,48.7726,0.0,407.6405,8.36,45.2934,2025-11-26 14:08:23
deepseek-r1:7b,country_income,question_14,How many countries have gini recalculated lower than the world average in 2015?,0.0385,98.2975,98.336,0.0,1128.7156,11.48,125.4129,2025-11-26 14:13:19
deepseek-r1:7b,country_income,question_15,What is the average of d10 net income of Vietnam over years?,0.0519,145.4617,145.5136,0.0,1594.7713,10.96,177.1968,2025-11-26 14:15:45
deepseek-r1:7b,country_income,question_16,What is the total net income of d5 to d9 groups of Vietnam in 2015?,0.0482,109.403,109.4512,0.0,1108.5355,10.13,123.1706,2025-11-26 14:17:35
deepseek-r1:7b,country_income,question_17,What is the average gini recalculated score of top 5 countries having highest population in 2015?,0.0516,190.5571,190.6087,0.0,1898.4152,9.96,210.935,2025-11-26 14:20:46
deepseek-r1:7b,country_income,question_18,Calculate the average gini of countries by region ID in 2015,0.0631,101.4394,101.5025,0.0,865.0663,8.52,96.1185,2025-11-26 14:22:27
deepseek-r1:7b,country_income,question_19,What is the growth rate of gini recalculated of Vietnam for each year?,0.0502,170.9818,171.032,0.0,1525.9664,8.92,169.5518,2025-11-26 14:25:19
deepseek-r1:7b,country_income,question_2,What is the net income of d10 category of US in 2015?,0.0672,137.2764,137.3436,0.0,1197.7546,8.72,133.0839,2025-11-26 14:27:36
deepseek-r1:7b,country_income,question_20,The average gini recalculated of the world in 2015,0.052,89.8967,89.9487,0.0,597.3368,6.64,66.3708,2025-11-26 14:29:06
deepseek-r1:7b,country_income,question_21,What is the ratio of net income of d10 to d1 group of Singapore in 2015?,0.0499,164.7835,164.8334,0.0,883.5887,5.36,98.1765,2025-11-26 14:31:51
deepseek-r1:7b,country_income,question_22,Vietnam released economic reformation policy named 'Doi Moi' from 1986 to 2000. Evaluate the effectiveness of the policy based on the gini score trend of the country in 2 phases: Before 1986 and after 1986,0.0465,139.9504,139.9969,0.0,722.5834,5.16,80.2871,2025-11-26 14:34:12
deepseek-r1:7b,country_income,question_23,Analyze the trend of world's income inequality across region from 1967 to 2015.,0.0431,94.4486,94.4917,0.0,537.0855,5.68,59.6761,2025-11-26 14:35:46
deepseek-r1:7b,country_income,question_24,Does higher gdp per capita posiviely correlated with high income inequality? Explain possible reasons,0.0476,132.561,132.6086,0.0,970.624,7.32,107.8471,2025-11-26 14:37:59
deepseek-r1:7b,country_income,question_25,The financial crisis happened in 2008. Evaluate the income inequality before and after the event in US.,0.0536,175.7931,175.8467,0.0,1512.3911,8.6,168.0434,2025-11-26 14:40:55
deepseek-r1:7b,country_income,question_26,Analyze the trend of income inequality and gdp per capita of Singapore from 1970 onward.,0.0496,135.9764,136.026,0.0,1077.5204,7.92,119.7245,2025-11-26 14:43:11
deepseek-r1:7b,country_income,question_27,Does population affect income inequality? Analyze gini index of China through years to explain,0.0558,101.379,101.4348,0.0,787.0935,7.76,87.4548,2025-11-26 14:44:53
deepseek-r1:7b,country_income,question_28,Comparing the gini index of China and US over years to evaluate which country has higher income inequality,0.0461,152.9074,152.9535,0.0,1370.4962,8.96,152.2774,2025-11-26 14:47:26
deepseek-r1:7b,country_income,question_29,Which region ID has high income inequality? Explain reasons behind it,0.0774,99.1109,99.1883,0.0,948.4762,9.56,105.3863,2025-11-26 14:49:06
deepseek-r1:7b,country_income,question_3,What is the net income of d1 category of Thailand in 2009?,0.0691,152.8484,152.9175,0.0,1321.2514,8.64,146.8057,2025-11-26 14:51:39
deepseek-r1:7b,country_income,question_30,"What are the common patterns can be observed from countries with high income inequality in 2015, knowing gini greater than 0.4 is considered as high inequality",0.0637,128.4603,128.524,0.0,1285.1512,10.0,142.7946,2025-11-26 14:53:48
deepseek-r1:7b,country_income,question_31,"Evaluate the net income gap between low income group d1 to d4, middle income group d5 to d9 and high income group d10 in Vietnam and propose improvement plan",0.1422,153.6859,153.8281,0.0,1232.3477,8.01,136.9275,2025-11-26 14:56:22
deepseek-r1:7b,country_income,question_4,What is the net income of d10 group of Singapore in 1970?,0.0596,106.4948,106.5544,0.0,878.2114,8.24,97.579,2025-11-26 14:58:08
deepseek-r1:7b,country_income,question_5,What is the population of China in 2000?,0.0539,128.1466,128.2005,0.0,1077.038,8.4,119.6709,2025-11-26 15:00:17
deepseek-r1:7b,country_income,question_6,What is the gdp per capita of Sweden in 2015?,0.0571,51.7497,51.8068,0.0,437.2286,8.44,48.5809,2025-11-26 15:01:09
deepseek-r1:7b,country_income,question_7,Distinct list of region ID,0.0543,89.258,89.3123,0.0,686.1073,7.68,76.2342,2025-11-26 15:02:38
deepseek-r1:7b,country_income,question_8,All the countries have gini recalculated greater than 0.4 in 2015,0.0469,78.8559,78.9028,0.0,716.4487,9.08,79.6054,2025-11-26 15:03:57
deepseek-r1:7b,country_income,question_9,"What is the gpd per capita, population and gini coefficient of Vietnam in 2010?",0.0593,83.6652,83.7245,0.0,753.5944,9.0,83.7327,2025-11-26 15:05:21
deepseek-r1:7b,finance_economics,question_1,"The inflation rate of November 28, 2008",0.0531,104.3925,104.4456,0.0,1136.2865,10.88,126.2541,2025-11-26 15:07:06
deepseek-r1:7b,finance_economics,question_10,"The unemployment rate, interest rate, inflation rate, the date where Dow Jones has top trading volume",0.0617,130.0743,130.136,0.0,1302.025,10.01,144.6694,2025-11-26 15:09:16
